respondent,dept,n,dept_en,dept_fr
Number of managers or supervisors,025,94,Canadian Grain Commission,Commission canadienne des grains
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",025,36,Canadian Grain Commission,Commission canadienne des grains
Number of employees,026,1831,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
Number of respondents,026,869,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
Number of staffing advisors,026,8,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
Number of managers or supervisors,026,295,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",026,177,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
Number of employees,028,936,Privy Council Office,Bureau du Conseil privé
Number of respondents,028,322,Privy Council Office,Bureau du Conseil privé
Number of staffing advisors,028,5,Privy Council Office,Bureau du Conseil privé
Number of managers or supervisors,028,107,Privy Council Office,Bureau du Conseil privé
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",028,72,Privy Council Office,Bureau du Conseil privé
Number of employees,030,619,Courts Administration Service,Service administratif des tribunaux judiciaires
Number of respondents,030,258,Courts Administration Service,Service administratif des tribunaux judiciaires
Number of staffing advisors,030,3,Courts Administration Service,Service administratif des tribunaux judiciaires
Number of managers or supervisors,030,60,Courts Administration Service,Service administratif des tribunaux judiciaires
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",030,34,Courts Administration Service,Service administratif des tribunaux judiciaires
Number of employees,031,444,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
Number of respondents,031,223,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
Number of staffing advisors,031,3,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
Number of managers or supervisors,031,93,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",031,53,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
Number of employees,032,570,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
Number of respondents,032,303,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
Number of staffing advisors,032,2,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
Number of managers or supervisors,032,99,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",032,48,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
Number of employees,033,620,Canadian Space Agency,Agence spatiale canadienne
Number of respondents,033,307,Canadian Space Agency,Agence spatiale canadienne
Number of staffing advisors,033,3,Canadian Space Agency,Agence spatiale canadienne
Number of managers or supervisors,033,120,Canadian Space Agency,Agence spatiale canadienne
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",033,71,Canadian Space Agency,Agence spatiale canadienne
Number of employees,034,310,Canada Economic Development for Québec Regions,Développement économique Canada pour les régions du Québec
Number of respondents,034,147,Canada Economic Development for Québec Regions,Développement économique Canada pour les régions du Québec
Number of staffing advisors,034,2,Canada Economic Development for Québec Regions,Développement économique Canada pour les régions du Québec
Number of managers or supervisors,034,54,Canada Economic Development for Québec Regions,Développement économique Canada pour les régions du Québec
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",034,28,Canada Economic Development for Québec Regions,Développement économique Canada pour les régions du Québec
Number of employees,036,398,Parole Board of Canada,Commission des libérations conditionnelles du Canada
Number of respondents,036,193,Parole Board of Canada,Commission des libérations conditionnelles du Canada
Number of staffing advisors,036,3,Parole Board of Canada,Commission des libérations conditionnelles du Canada
Number of managers or supervisors,036,51,Parole Board of Canada,Commission des libérations conditionnelles du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",036,27,Parole Board of Canada,Commission des libérations conditionnelles du Canada
Number of employees,039,212,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
Number of respondents,039,105,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
Number of staffing advisors,039,1,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
Number of managers or supervisors,039,30,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",039,13,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
Number of employees,041,179,Canadian Human Rights Commission,Commission canadienne des droits de la personne
Number of respondents,041,88,Canadian Human Rights Commission,Commission canadienne des droits de la personne
